SCOC	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
SKI	Generic Transcription Pathway(R)
cDNA FLJ77327, highly similar to Homo sapiens cyclin H (CCNH), mRNA {ECO:0000313|EMBL:BAF84409.1}	il-2 receptor beta chain in t cell activation(B)
cDNA FLJ77327, highly similar to Homo sapiens cyclin H (CCNH), mRNA {ECO:0000313|EMBL:BAF84409.1}	cyclins and cell cycle regulation(B)
cDNA FLJ77327, highly similar to Homo sapiens cyclin H (CCNH), mRNA {ECO:0000313|EMBL:BAF84409.1}	sonic hedgehog receptor ptc1 regulates cell cycle(B)
PKN2	Signaling by Rho GTPases(R)
PKN2	Alzheimer disease-amyloid secretase pathway(P)
PKN2	RhoA signaling pathway(N)
PKN1	protein kinase a at the centrosome(B)
PKN1	Regulation of Androgen receptor activity(N)
PKN1	Signaling by Rho GTPases(R)
PKN1	pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase(B)
PKN1	Signaling mediated by p38-gamma and p38-delta(N)
PKN1	Alzheimer disease-amyloid secretase pathway(P)
PKN1	RhoA signaling pathway(N)
PKN1	PAR1-mediated thrombin signaling events(N)
cDNA, FLJ94498, highly similar to Homo sapiens guanylate cyclase activator 1A (retina) (GUCA1A),mRNA	visual signal transduction(B)
KCNG1	Potassium Channels(R)
KCNG2	Integration of energy metabolism(R)
KCNG2	Potassium Channels(R)
KCNG3	Potassium Channels(R)
KCNG4	Potassium Channels(R)
PDCD7	Processing of Capped Intron-Containing Pre-mRNA(R)
FBXO27	Class I MHC mediated antigen processing & presentation(R)
GOLIM4	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
SLA	PDGFR-beta signaling pathway(N)
IL1RAP	signal transduction through il1r(B)
IL1RAP	Signaling by Interleukins(R)
IL1RAP	p73 transcription factor network(N)
IL1RAP	IL1-mediated signaling events(N)
FBXO21	Class I MHC mediated antigen processing & presentation(R)
APEH	Eukaryotic Translation Termination(R)
APEH	Neutrophil degranulation(R)
FBXO22	Class I MHC mediated antigen processing & presentation(R)
FADS2	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism(R)
POFUT2	O-linked glycosylation(R)
hCBF-C	overview of telomerase rna component gene hterc transcriptional regulation(B)
SLK	Caspase cascade in apoptosis(N)
FNTA	Visual phototransduction(R)
FNTA	Apoptotic execution  phase(R)
SLN	Ion channel transport(R)
SLN	Cardiac conduction(R)
POFUT1	Pre-NOTCH Expression and Processing(R)
FNTB	Visual phototransduction(R)
TNFRSF8	TNFR2 non-canonical NF-kB pathway(R)
MAP3K8	JNK signaling in the CD4+ TCR pathway(N)
MAP3K8	TCR signaling in na&#xef;ve CD8+ T cells(N)
MAP3K8	TCR signaling in na&#xef;ve CD4+ T cells(N)
MAP3K8	Ras signaling in the CD4+ TCR pathway(N)
MAP3K8	Toll receptor signaling pathway(P)
MAP3K8	Signaling by Interleukins(R)
MAP3K8	Costimulation by the CD28 family(R)
MAP3K8	Toll-Like Receptors Cascades(R)
MAP3K8	mapkinase signaling pathway(B)
MAP3K8	Role of Calcineurin-dependent NFAT signaling in lymphocytes(N)
NEK2	APC/C-mediated degradation of cell cycle proteins(R)
NEK2	FOXM1 transcription factor network(N)
NEK2	Cilium Assembly(R)
NEK2	Mitotic G2-G2/M phases(R)
MAP3K9	p38 mapk signaling pathway(B)
MAP3K6	p38 MAPK signaling pathway(N)
MAP3K6	FGF signaling pathway(P)
MAP3K7	p38 MAPK signaling pathway(N)
MAP3K7	nf-kb signaling pathway(B)
MAP3K7	TNF receptor signaling pathway(N)
MAP3K7	JNK signaling in the CD4+ TCR pathway(N)
MAP3K7	thrombin signaling and protease-activated receptors(B)
MAP3K7	C-type lectin receptors (CLRs)(R)
MAP3K7	BCR signaling pathway(N)
MAP3K7	toll-like receptor pathway(B)
MAP3K7	IL1-mediated signaling events(N)
MAP3K7	Signaling by the B Cell Receptor (BCR)(R)
MAP3K7	Ephrin B reverse signaling(N)
MAP3K7	nfkb activation by nontypeable hemophilus influenzae(B)
MAP3K7	signal transduction through il1r(B)
MAP3K7	C-MYB transcription factor network(N)
MAP3K7	Signaling by Interleukins(R)
MAP3K7	Beta-catenin independent WNT signaling(R)
MAP3K7	Presenilin action in Notch and Wnt signaling(N)
MAP3K7	BMP receptor signaling(N)
MAP3K7	wnt signaling pathway(B)
MAP3K7	TGF-beta receptor signaling(N)
MAP3K7	TCR signaling(R)
MAP3K7	Noncanonical Wnt signaling pathway(N)
MAP3K7	Deubiquitination(R)
MAP3K7	TNF signaling(R)
MAP3K7	Fc epsilon receptor (FCERI) signaling(R)
MAP3K7	alk in cardiac myocytes(B)
MAP3K7	fas signaling pathway (cd95)(B)
MAP3K7	Toll-Like Receptors Cascades(R)
MAP3K7	mapkinase signaling pathway(B)
MAP3K7	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways(R)
MAP3K7	tgf beta signaling pathway(B)
TNFRSF4	Downstream signaling in na&#xef;ve CD8+ T cells(N)
TNFRSF4	TNFR2 non-canonical NF-kB pathway(R)
MAP3K4	p38 MAPK signaling pathway(N)
MAP3K4	FGF signaling pathway(P)
MAP3K4	Ras Pathway(P)
MAP3K4	Oxidative stress response(P)
MAP3K4	EGF receptor signaling pathway(P)
MAP3K4	Integrin signalling pathway(P)
FADS1	Fatty acid, triacylglycerol, and ketone body metabolism(R)
FADS1	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism(R)
MAP3K5	p38 MAPK signaling pathway(N)
MAP3K5	TNF receptor signaling pathway(N)
MAP3K5	HIV-1 Nef: Negative effector of Fas and TNF-alpha(N)
MAP3K5	Apoptosis signaling pathway(P)
MAP3K5	FGF signaling pathway(P)
MAP3K5	Class I PI3K signaling events mediated by Akt(N)
MAP3K5	EGF receptor signaling pathway(P)
MAP3K5	Oxidative Stress Induced Senescence(R)
MAP3K5	Integrin signalling pathway(P)
KCNH1	Potassium Channels(R)
KCNH2	Potassium Channels(R)
KCNH2	Cardiac conduction(R)
PIAS4	SUMOylation(R)
PIAS4	Coregulation of Androgen receptor activity(N)
PIAS4	Regulation of cytoplasmic and nuclear SMAD2/3 signaling(N)
PIAS4	Regulation of nuclear SMAD2/3 signaling(N)
PIAS4	IFN-gamma pathway(N)
PIAS4	HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)(R)
PIAS4	Nonhomologous End-Joining (NHEJ)(R)
PIAS4	Cell Cycle Checkpoints(R)
PIAS4	DNA Double Strand Break Response(R)
cDNA PSEC0236 fis, clone HEMBA1007104, highly similar to Laminin gamma-3 chain {ECO:0000313|EMBL:BAC	agrin in postsynaptic differentiation(B)
cDNA PSEC0236 fis, clone HEMBA1007104, highly similar to Laminin gamma-3 chain {ECO:0000313|EMBL:BAC	prion pathway(B)
FBXW4	Class I MHC mediated antigen processing & presentation(R)
KCNH3	Potassium Channels(R)
PIAS3	SUMOylation(R)
PIAS3	IL6-mediated signaling events(N)
PIAS3	Coregulation of Androgen receptor activity(N)
PIAS3	Regulation of nuclear SMAD2/3 signaling(N)
PIAS3	C-MYB transcription factor network(N)
KCNH4	Potassium Channels(R)
DGAT2	Glycerophospholipid biosynthesis(R)
DGAT2	Fatty acid, triacylglycerol, and ketone body metabolism(R)
KCNH5	Potassium Channels(R)
FBXW5	Class I MHC mediated antigen processing & presentation(R)
KCNH6	Potassium Channels(R)
DGAT1	Glycerophospholipid biosynthesis(R)
DGAT1	Fatty acid, triacylglycerol, and ketone body metabolism(R)
DGAT1	Neutrophil degranulation(R)
FBXW8	Class I MHC mediated antigen processing & presentation(R)
KCNH7	Potassium Channels(R)
FBXW7	Validated transcriptional targets of deltaNp63 isoforms(N)
FBXW7	Signaling by NOTCH1(R)
FBXW7	C-MYC pathway(N)
FBXW7	Class I MHC mediated antigen processing & presentation(R)
KCNH8	Potassium Channels(R)
FBXO17	Class I MHC mediated antigen processing & presentation(R)
STX7	Parkinson disease(P)
FBXW9	Class I MHC mediated antigen processing & presentation(R)
FBXO15	Class I MHC mediated antigen processing & presentation(R)
FBXO10	Class I MHC mediated antigen processing & presentation(R)
FBXO11	p53 pathway(N)
FBXW2	Class I MHC mediated antigen processing & presentation(R)
PIAS2	SUMOylation(R)
PIAS2	sumoylation by ranbp2 regulates transcriptional repression(B)
PIAS2	IL12 signaling mediated by STAT4(N)
PIAS2	Activation of anterior HOX genes in hindbrain development during early embryogenesis(R)
PIAS2	Sumoylation by RanBP2 regulates transcriptional repression(N)
PIAS1	Interferon gamma signaling(R)
PIAS1	SUMOylation(R)
PIAS1	IL6-mediated signaling events(N)
PIAS1	Coregulation of Androgen receptor activity(N)
PIAS1	IFN-gamma pathway(N)
PIAS1	Hedgehog signaling events mediated by Gli proteins(N)
PIAS1	sumoylation by ranbp2 regulates transcriptional repression(B)
PIAS1	Signaling events mediated by TCPTP(N)
PIAS1	Sumoylation by RanBP2 regulates transcriptional repression(N)
MSH6	Mismatch Repair(R)
SMO	Hedgehog 'off' state(R)
SMO	Hedgehog 'on' state(R)
SMO	Hedgehog signaling events mediated by Gli proteins(N)
SMO	Hedgehog signaling pathway(P)
SMO	Signaling events mediated by the Hedgehog family(N)
SMO	GPCR ligand binding(R)
MSH2	Mismatch Repair(R)
MSH2	Direct p53 effectors(N)
MSH2	Generic Transcription Pathway(R)
DMTF1	Validated transcriptional targets of AP1 family members Fra1 and Fra2(N)
DMTF1	AP-1 transcription factor network(N)
MSH3	Mismatch Repair(R)
MSH4	Meiotic recombination(R)
MSH5	Meiotic recombination(R)
PKP2	Keratinization(R)
PKP1	Keratinization(R)
PKP1	Apoptotic execution  phase(R)
PKP1	Neutrophil degranulation(R)
PKP4	Keratinization(R)
PKP3	Keratinization(R)
BLK	CXCR4-mediated signaling events(N)
BLK	Ephrin B reverse signaling(N)
BLK	PDGFR-beta signaling pathway(N)
BLK	Signaling events mediated by PTP1B(N)
BLK	Glypican 1 network(N)
BLK	EPHA forward signaling(N)
BLK	Thromboxane A2 receptor signaling(N)
BLK	Alpha-synuclein signaling(N)
BLK	Regulation of p38-alpha and p38-beta(N)
BLK	Signaling by the B Cell Receptor (BCR)(R)
BLK	Class I PI3K signaling events(N)
KCNE1	Cardiac conduction(R)
BLM	SUMOylation(R)
BLM	HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)(R)
BLM	Meiotic recombination(R)
BLM	Regulation of Telomerase(N)
BLM	Cell Cycle Checkpoints(R)
BLM	ATM pathway(N)
BLM	Fanconi anemia pathway(N)
BLM	Generic Transcription Pathway(R)
KCNE2	Cardiac conduction(R)
GSTT1	Phase II conjugation(R)
FBXO45	p73 transcription factor network(N)
FBXO44	Class I MHC mediated antigen processing & presentation(R)
NPAS2	Circadian rhythm pathway(N)
NPAS2	Circadian Clock(R)
NPAS2	Fatty acid, triacylglycerol, and ketone body metabolism(R)
FBXO41	Class I MHC mediated antigen processing & presentation(R)
RAP1B	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway(P)
RAP1B	CXCR4-mediated signaling events(N)
RAP1B	amb2 Integrin signaling(N)
RAP1B	Neutrophil degranulation(R)
RAP1B	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
RAP1B	IFN-gamma pathway(N)
RAP1B	Nectin adhesion pathway(N)
RAP1B	EPHB forward signaling(N)
RAP1B	Platelet Aggregation (Plug Formation)(R)
RAP1B	E-cadherin signaling in the nascent adherens junction(N)
RAP1B	PDGFR-beta signaling pathway(N)
RAP1B	Signaling events mediated by focal adhesion kinase(N)
RAP1B	Neurotrophic factor-mediated Trk receptor signaling(N)
RAP1B	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N)
RAP1B	Signaling by MET(R)
RAP1B	Integrin alphaIIb beta3 signaling(R)
RAP1B	Rap1 signalling(R)
RAP1B	Trk receptor signaling mediated by the MAPK pathway(N)
RAP1B	Integrin signalling pathway(P)
FBXO40	Class I MHC mediated antigen processing & presentation(R)
NDOR1	Cytosolic iron-sulfur cluster assembly(R)
RAP1A	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway(P)
RAP1A	amb2 Integrin signaling(N)
RAP1A	Neutrophil degranulation(R)
RAP1A	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
RAP1A	IFN-gamma pathway(N)
RAP1A	Nectin adhesion pathway(N)
RAP1A	Signaling events regulated by Ret tyrosine kinase(N)
RAP1A	EPHB forward signaling(N)
RAP1A	Platelet Aggregation (Plug Formation)(R)
RAP1A	E-cadherin signaling in the nascent adherens junction(N)
RAP1A	TCR signaling in na&#xef;ve CD8+ T cells(N)
RAP1A	Integration of energy metabolism(R)
RAP1A	PDGFR-beta signaling pathway(N)
RAP1A	Signaling events mediated by focal adhesion kinase(N)
RAP1A	Reelin signaling pathway(N)
RAP1A	EPO signaling pathway(N)
RAP1A	TCR signaling in na&#xef;ve CD4+ T cells(N)
RAP1A	Neurotrophic factor-mediated Trk receptor signaling(N)
RAP1A	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N)
RAP1A	Signaling by MET(R)
RAP1A	Integrin alphaIIb beta3 signaling(R)
RAP1A	Rap1 signalling(R)
RAP1A	Trk receptor signaling mediated by the MAPK pathway(N)
RAP1A	Signalling by NGF(R)
RAP1A	Integrin signalling pathway(P)
RAP1A	Class I PI3K signaling events(N)
MBIP	Chromatin modifying enzymes(R)
BMF	Intrinsic Pathway for Apoptosis(R)
Protein kinase C {ECO:0000256|PIRNR:PIRNR000551, ECO:0000256|SAAS:SAAS00585593}	keratinocyte differentiation(B)
KCNF1	Potassium Channels(R)
NEK9	Mitotic Prophase(R)
NOP14	rRNA processing(R)
HTR1E	GPCR downstream signaling(R)
HTR1E	GPCR ligand binding(R)
HTR1E	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
HTR1F	GPCR downstream signaling(R)
HTR1F	GPCR ligand binding(R)
HTR1F	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
NEK6	Mitotic Prophase(R)
TNFRSF9	the 41bb-dependent immune response(B)
TNFRSF9	Downstream signaling in na&#xef;ve CD8+ T cells(N)
TNFRSF9	TNFR2 non-canonical NF-kB pathway(R)
HTR1D	GPCR downstream signaling(R)
HTR1D	GPCR ligand binding(R)
HTR1D	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
HTR1A	GPCR downstream signaling(R)
HTR1A	GPCR ligand binding(R)
HTR1A	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
HTR1B	GPCR downstream signaling(R)
HTR1B	GPCR ligand binding(R)
HTR1B	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
RFXANK	Signaling events mediated by HDAC Class II(N)
BMX	PI Metabolism(R)
BMX	Signaling events mediated by focal adhesion kinase(N)
BMX	Apoptotic execution  phase(R)
BMX	Angiopoietin receptor Tie2-mediated signaling(N)
FBXO32	FoxO family signaling(N)
FBXO32	Class I MHC mediated antigen processing & presentation(R)
FBXO30	Class I MHC mediated antigen processing & presentation(R)
FBXO31	Class I MHC mediated antigen processing & presentation(R)
DRAP1	Signaling by NODAL(R)
DRAP1	Signaling by Activin(R)
G6PC2	Metabolism of carbohydrates(R)
G6PC2	Hexose transport(R)
G6PC3	Metabolism of carbohydrates(R)
G6PC3	Hexose transport(R)
SP1	FOXM1 transcription factor network(N)
SP1	FOXA1 transcription factor network(N)
SP1	Regulation of Telomerase(N)
SP1	Validated transcriptional targets of TAp63 isoforms(N)
SP1	p73 transcription factor network(N)
SP1	IL4-mediated signaling events(N)
SP1	Oncogene Induced Senescence(R)
SP1	Signaling by TGF-beta Receptor Complex(R)
SP1	Validated targets of C-MYC transcriptional repression(N)
SP1	Regulation of nuclear SMAD2/3 signaling(N)
SP1	C-MYB transcription factor network(N)
SP1	Fatty acid, triacylglycerol, and ketone body metabolism(R)
SP1	Regulation of cholesterol biosynthesis by SREBP (SREBF)(R)
SP1	E2F transcription factor network(N)
SP1	FOXA2 and FOXA3 transcription factor networks(N)
SP1	Validated transcriptional targets of AP1 family members Fra1 and Fra2(N)
SP1	RNA polymerase II transcribes snRNA genes(R)
SP1	AP-1 transcription factor network(N)
SP1	HIF-1-alpha transcription factor network(N)
SP1	HIF-2-alpha transcription factor network(N)
SP1	Direct p53 effectors(N)
SP1	IL2 signaling events mediated by STAT5(N)
SP1	Generic Transcription Pathway(R)
SP3	SUMOylation(R)
SP3	Regulation of nuclear SMAD2/3 signaling(N)
SP3	Regulation of Telomerase(N)
SP3	effects of calcineurin in keratinocyte differentiation(B)
SP3	overview of telomerase rna component gene hterc transcriptional regulation(B)
SP5	Regulation of nuclear beta catenin signaling and target gene transcription(N)
MNAT1	mRNA Capping(R)
MNAT1	RNA Polymerase II Transcription(R)
MNAT1	Mitotic G1-G1/S phases(R)
MNAT1	RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription(R)
MNAT1	sonic hedgehog receptor ptc1 regulates cell cycle(B)
MNAT1	S Phase(R)
MNAT1	Nucleotide Excision Repair(R)
MNAT1	Mitotic G2-G2/M phases(R)
MNAT1	NoRC negatively regulates rRNA expression(R)
MNAT1	Generic Transcription Pathway(R)
MNAT1	Retinoic acid receptors-mediated signaling(N)
NOP10	rRNA processing(R)
PIWIL2	Gene Silencing by RNA(R)
BCAR3	Regulation of CDC42 activity(N)
PIWIL1	Gene Silencing by RNA(R)
PIWIL4	Gene Silencing by RNA(R)
ALAS2	Metabolism of porphyrins(R)
BMP10	alk in cardiac myocytes(B)
BMP10	Extracellular matrix organization(R)
BMP10	TGF-beta signaling pathway(P)
ALAS1	Mitochondrial biogenesis(R)
ALAS1	Metabolism of porphyrins(R)
ALAS1	Fatty acid, triacylglycerol, and ketone body metabolism(R)
ALAS1	FOXA2 and FOXA3 transcription factor networks(N)
ALAS1	hemoglobins chaperone(B)
KCNK9	Potassium Channels(R)
ONECUT3	Regulation of beta-cell development(R)
ONECUT1	FOXM1 transcription factor network(N)
ONECUT1	Regulation of beta-cell development(R)
HTR2B	GPCR downstream signaling(R)
HTR2B	Gastrin-CREB signalling pathway via PKC and MAPK(R)
HTR2B	GPCR ligand binding(R)
HTR2B	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
DYSF	Smooth Muscle Contraction(R)
APIP	Metabolism of polyamines(R)
APIP	Sulfur amino acid metabolism(R)
HTR2C	roles of ß arrestin dependent recruitment of src kinases in gpcr signaling(B)
HTR2C	role of ß-arrestins in the activation and targeting of map kinases(B)
HTR2C	activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor(B)
HTR2C	activation of camp-dependent protein kinase pka(B)
HTR2C	GPCR ligand binding(R)
HTR2C	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
HTR2C	chrebp regulation by carbohydrates and camp(B)
HTR2C	GPCR downstream signaling(R)
HTR2C	ß-arrestins in gpcr desensitization(B)
HTR2C	ion channels and their functional role in vascular endothelium(B)
HTR2C	Gastrin-CREB signalling pathway via PKC and MAPK(R)
PPWD1	Processing of Capped Intron-Containing Pre-mRNA(R)
HTR2A	GPCR downstream signaling(R)
HTR2A	Gastrin-CREB signalling pathway via PKC and MAPK(R)
HTR2A	GPCR ligand binding(R)
HTR2A	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
MSLN	Post-translational modification: synthesis of GPI-anchored proteins(R)
BICD1	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
BMP15	TGF-beta signaling pathway(P)
TNFSF13B	yaci and bcma stimulation of b cell immune responses(B)
TNFSF13B	TNFR2 non-canonical NF-kB pathway(R)
UNC80	Ion channel transport(R)
SPN	Cell surface interactions at the vascular wall(R)
SPR	Metabolism of nitric oxide(R)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	il 2 signaling pathway(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	il-2 receptor beta chain in t cell activation(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	growth hormone signaling pathway(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	inhibition of cellular proliferation by gleevec(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	il-7 signal transduction(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	tpo signaling pathway(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	il 3 signaling pathway(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	bioactive peptide induced signaling pathway(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	epo signaling pathway(B)
STAT5B protein {ECO:0000313|EMBL:AAH20868.1}	il22 soluble receptor signaling pathway(B)
BOC	Hedgehog 'on' state(R)
BOC	Signaling events mediated by the Hedgehog family(N)
BOC	Myogenesis(R)
OR56B1	GPCR downstream signaling(R)
PRLHR	GPCR ligand binding(R)
SPDL1	Mitotic Metaphase and Anaphase(R)
SPDL1	Signaling by Rho GTPases(R)
SPDL1	Mitotic Prometaphase(R)
NEO1	Netrin-1 signaling(R)
NEO1	Myogenesis(R)
OR56B4	GPCR downstream signaling(R)
BCAS2	Processing of Capped Intron-Containing Pre-mRNA(R)
MBL2	lectin induced complement pathway(B)
MBL2	Complement cascade(R)
BOK	Apoptosis signaling pathway(P)
Ewings sarcoma EWS-Fli1 (Type 1) oncogene {ECO:0000313|EMBL:AAK11227.1}	BARD1 signaling events(N)
CERS3	Sphingolipid metabolism(R)
CERS4	Sphingolipid metabolism(R)
CERS5	Sphingolipid metabolism(R)
CERS6	Sphingolipid metabolism(R)
HTR3E	Ion channel transport(R)
DHPS	Gamma carboxylation, hypusine formation and arylsulfatase activation(R)
